"age.metadata","genename","measurement","percent"
13,"CD44",0.0582505637802655,0.195432374256996
14,"CD44",0.0944676959546124,0.248172737839595
15,"CD44",0.18613047840279,0.384572417024037
16,"CD44",0.363231168706688,0.599351163640794
17,"CD44",0.53154066772532,0.704837308100801
18,"CD44",0.190195115888959,0.40865540759987
19,"CD44",0.52605829754107,0.636090171064077
20,"CD44",0.799785097964218,0.734094552848708
21,"CD44",0.26956626758398,0.450424005218526
22,"CD44",0.973399441767731,0.764157562393505
23,"CD44",1,0.789221975971072
11,"PTPRC",0.182305477694259,0.0793489318413021
12,"PTPRC",0.235514697078235,0.0903882367082015
13,"PTPRC",0,0.0564288394320583
14,"PTPRC",0.191643035744998,0.0811777221773479
15,"PTPRC",0.163565398642834,0.0825435150816246
16,"PTPRC",0.309767922920377,0.0944468136956257
17,"PTPRC",0.540007495784654,0.115863667085063
18,"PTPRC",1,0.164312006062574
19,"PTPRC",0.446879243668365,0.109234560742244
20,"PTPRC",0.792974894922789,0.139874085950025
21,"PTPRC",0.539424975370739,0.118504022613612
22,"PTPRC",0.789314127719687,0.14984464267816
23,"PTPRC",0.643268784850596,0.132392394727633
11,"CD9",0.0695514356155135,0.0586074375494518
12,"CD9",0.0305829309145254,0.0334949316879683
13,"CD9",0.115827285400759,0.0884594877465985
14,"CD9",0.0409015923361447,0.0481392462420457
15,"CD9",0,0.0414429348805362
16,"CD9",0.151522809323556,0.0897404654563178
17,"CD9",0.140774882214361,0.0792700588973641
18,"CD9",0.541855239887176,0.300638735520191
19,"CD9",0.494567870335971,0.264388228472021
20,"CD9",0.671101063634638,0.360223673405545
21,"CD9",0.60858124609745,0.328060447923462
22,"CD9",1,0.503708529618122
23,"CD9",0.865547642012279,0.46523970605389
11,"CALCA",0,0.266813609133039
12,"CALCA",0.168903728728788,0.400536880483994
13,"CALCA",0.098198028546248,0.342384328284524
14,"CALCA",0.225360688755125,0.421659213144467
15,"CALCA",0.217233878938312,0.41251937006739
16,"CALCA",0.489084113611928,0.597432070183989
17,"CALCA",0.688354136100859,0.674954137298445
18,"CALCA",0.886637662137067,0.712514885785428
19,"CALCA",0.57885398392157,0.531313424180922
20,"CALCA",0.924057195178619,0.684354592734525
21,"CALCA",0.655419546850599,0.530658838878017
22,"CALCA",1,0.719805552771374
23,"CALCA",0.902808389765844,0.710486410824682
11,"MET",0.196833734979376,0.135639199728722
12,"MET",0,0.0712768941063344
13,"MET",0.126699382432652,0.114516479393353
14,"MET",0.159868009435253,0.118156386059615
15,"MET",0.197814886053531,0.121049407185845
16,"MET",0.558056596501955,0.263844888509809
17,"MET",0.739085433058777,0.336052911074636
18,"MET",0.717056360960347,0.331411713759879
19,"MET",0.902160490917612,0.385365323282111
20,"MET",1,0.430180268251672
21,"MET",0.473737764029799,0.230321809088932
22,"MET",0.806527923215247,0.364789014733888
23,"MET",0.868200431029274,0.378922197597107
11,"GJA1",0.16841705190561,0.191533853283599
12,"GJA1",0.368671740148174,0.325373612724869
13,"GJA1",0,0.120490136061139
14,"GJA1",0.436130422388509,0.337615004235702
15,"GJA1",0.438119588174483,0.341255540740207
16,"GJA1",0.53779441406057,0.403314243938102
17,"GJA1",0.920801382161894,0.585401177947282
18,"GJA1",0.938003876433682,0.616731622821262
19,"GJA1",0.673994536262063,0.433567700782836
20,"GJA1",1,0.597935322410355
21,"GJA1",0.684524344401336,0.484398782343988
22,"GJA1",0.708826394658175,0.505161872306304
23,"GJA1",0.415253502919175,0.364633150589059
11,"CUX1",0.230494082163002,0.279529784107607
12,"CUX1",0,0.0394647221443167
13,"CUX1",0.496727335925777,0.538567112304745
14,"CUX1",0.18567372904302,0.215764691975807
15,"CUX1",0.349537380438067,0.351814479801074
16,"CUX1",0.758853852137224,0.753152796393323
17,"CUX1",1,0.80800424833446
18,"CUX1",0.26739548573666,0.316011692107827
19,"CUX1",0.648698612240379,0.552007828356045
20,"CUX1",0.820071117253009,0.631056192077582
21,"CUX1",0.0483025069787975,0.0862687540769733
22,"CUX1",0.626760562235727,0.619775483612308
23,"CUX1",0.846088817268086,0.774816283681325
11,"GAD2",0.151503610885079,0.197807166271052
12,"GAD2",0.146200507481385,0.213550222364678
13,"GAD2",0,0.122208179466419
14,"GAD2",0.116866419339829,0.189207825213263
15,"GAD2",0.114241163944909,0.189250063065336
16,"GAD2",0.112017349847099,0.184004508346533
17,"GAD2",0.245339102773004,0.279134884619098
18,"GAD2",0.747634538479016,0.585336148100032
19,"GAD2",0.200402482513721,0.255327631197449
