"age.metadata","genename","measurement","percent"
19,"TUBB3",0,0.974410235905638
24,"TUBB3",0.0656644315579694,0.989060642092747
11,"VIM",0.483904563146712,0.99237265050395
12,"VIM",1,0.99218829258395
15,"VIM",0.17934499185262,0.691719257984318
19,"VIM",0,0.335065973610556
24,"VIM",0.00797707306318121,0.50332936979786
13,"FABP7",NA,NA
13,"KIT",NA,NA
13,"PROM1",NA,NA
13,"PECAM1",NA,NA
13,"CD44",NA,NA
13,"PTPRC",NA,NA
13,"CD9",NA,NA
13,"CALCA",NA,NA
13,"MET",NA,NA
13,"GJA1",NA,NA
13,"CUX1",NA,NA
13,"GAD2",NA,NA
13,"GFAP",NA,NA
13,"ISL1",NA,NA
13,"MKI67",NA,NA
13,"MAFA",NA,NA
13,"MAP2",NA,NA
13,"CDH2",NA,NA
13,"NES",NA,NA
13,"RBFOX3",NA,NA
13,"NEUROD1",NA,NA
13,"NEFH",NA,NA
13,"NGFR",NA,NA
13,"PDGFRA",NA,NA
13,"UCHL1",NA,NA
13,"RET",NA,NA
13,"RUNX3",NA,NA
13,"SOX1",NA,NA
13,"SOX10",NA,NA
13,"SOX2",NA,NA
13,"THY1",NA,NA
13,"NTRK1",NA,NA
13,"NTRK2",NA,NA
13,"NTRK3",NA,NA
13,"TUBB3",NA,NA
13,"VIM",NA,NA
14,"FABP7",NA,NA
14,"KIT",NA,NA
14,"PROM1",NA,NA
14,"PECAM1",NA,NA
14,"CD44",NA,NA
14,"PTPRC",NA,NA
14,"CD9",NA,NA
14,"CALCA",NA,NA
14,"MET",NA,NA
14,"GJA1",NA,NA
14,"CUX1",NA,NA
14,"GAD2",NA,NA
14,"GFAP",NA,NA
14,"ISL1",NA,NA
14,"MKI67",NA,NA
14,"MAFA",NA,NA
14,"MAP2",NA,NA
14,"CDH2",NA,NA
14,"NES",NA,NA
14,"RBFOX3",NA,NA
14,"NEUROD1",NA,NA
14,"NEFH",NA,NA
14,"NGFR",NA,NA
14,"PDGFRA",NA,NA
14,"UCHL1",NA,NA
14,"RET",NA,NA
14,"RUNX3",NA,NA
14,"SOX1",NA,NA
14,"SOX10",NA,NA
14,"SOX2",NA,NA
14,"THY1",NA,NA
14,"NTRK1",NA,NA
14,"NTRK2",NA,NA
14,"NTRK3",NA,NA
14,"TUBB3",NA,NA
14,"VIM",NA,NA
16,"FABP7",NA,NA
16,"KIT",NA,NA
16,"PROM1",NA,NA
16,"PECAM1",NA,NA
16,"CD44",NA,NA
16,"PTPRC",NA,NA
16,"CD9",NA,NA
16,"CALCA",NA,NA
16,"MET",NA,NA
16,"GJA1",NA,NA
16,"CUX1",NA,NA
16,"GAD2",NA,NA
16,"GFAP",NA,NA
16,"ISL1",NA,NA
16,"MKI67",NA,NA
16,"MAFA",NA,NA
16,"MAP2",NA,NA
16,"CDH2",NA,NA
16,"NES",NA,NA
16,"RBFOX3",NA,NA
16,"NEUROD1",NA,NA
16,"NEFH",NA,NA
16,"NGFR",NA,NA
16,"PDGFRA",NA,NA
16,"UCHL1",NA,NA
16,"RET",NA,NA
16,"RUNX3",NA,NA
16,"SOX1",NA,NA
16,"SOX10",NA,NA
16,"SOX2",NA,NA
16,"THY1",NA,NA
16,"NTRK1",NA,NA
16,"NTRK2",NA,NA
16,"NTRK3",NA,NA
16,"TUBB3",NA,NA
16,"VIM",NA,NA
17,"FABP7",NA,NA
17,"KIT",NA,NA
17,"PROM1",NA,NA
17,"PECAM1",NA,NA
17,"CD44",NA,NA
17,"PTPRC",NA,NA
17,"CD9",NA,NA
17,"CALCA",NA,NA
17,"MET",NA,NA
17,"GJA1",NA,NA
17,"CUX1",NA,NA
17,"GAD2",NA,NA
17,"GFAP",NA,NA
17,"ISL1",NA,NA
17,"MKI67",NA,NA
17,"MAFA",NA,NA
17,"MAP2",NA,NA
17,"CDH2",NA,NA
17,"NES",NA,NA
17,"RBFOX3",NA,NA
17,"NEUROD1",NA,NA
17,"NEFH",NA,NA
17,"NGFR",NA,NA
17,"PDGFRA",NA,NA
17,"UCHL1",NA,NA
17,"RET",NA,NA
17,"RUNX3",NA,NA
17,"SOX1",NA,NA
17,"SOX10",NA,NA
17,"SOX2",NA,NA
17,"THY1",NA,NA
17,"NTRK1",NA,NA
17,"NTRK2",NA,NA
